EmployeeID,FirstName,LastName,PositionID,DepartmentID,HireDate,TerminationDate,EmploymentStatus,Salary,HourlyRate,StandardHours,TrainingTimes,Satisfaction,Email,PhoneNumber,DateOfBirth,Gender,MaritalStatus,Country,City,DistanceFromHome,Education,EducationField,ManagerID,EmploymentType,ContractType
121,Mahmoud,Al-Farisi,4,1,10/3/2016,,Active,1251,7.22,86.67,6,60,mahmoud.al-farisi@steigenberger.com,+20 1011582743,8/18/1993,F,Married,Saudi Arabia,Tanta,398,Bachelor,General,2,Full-time,Permanent
122,Farid,Khalil,15,5,2/20/2020,,Active,2672,15.42,173.33,5,55,farid.khalil@steigenberger.com,+20 1035902403,12/10/1981,F,Married,Philippines,Damietta,388,Master,Engineering,1,Full-time,Permanent
123,Faisal,Hernandez,5,2,4/1/2020,,Active,2713,15.65,173.33,1,43,faisal.hernandez@steigenberger.com,+20 1016742927,4/11/1975,M,Single,Philippines,Zagazig,338,Master,Business,1,Part-time,Permanent
124,Paul,Salam,19,7,1/21/2015,,Active,1985,11.45,173.33,3,75,paul.salam@steigenberger.com,+20 1084434146,10/3/1980,F,Single,Saudi Arabia,Tanta,107,High School,Business,1,Full-time,Fixed-term
125,Michelle,Davis,17,6,11/3/2017,,Active,2968,17.12,173.33,8,92,michelle.davis@steigenberger.com,+20 1018227615,11/3/1987,M,Married,Egypt,Ismailia,484,Master,Management,1,Part-time,Permanent
126,Ziad,Abu-Bakr,6,2,4/18/2015,,Active,876,5.05,173.33,2,42,ziad.abu-bakr@steigenberger.com,+20 1041192439,4/18/2002,M,Married,Philippines,Mansoura,12,Diploma,Business,5,Seasonal,Permanent
127,Sherif,Bin-Salem,7,4,6/12/2018,,Active,2801,16.16,173.33,5,46,sherif.bin-salem@steigenberger.com,+20 1068945598,8/16/1977,M,Widowed,Saudi Arabia,Mansoura,11,High School,Tourism,1,Full-time,Permanent
128,Michelle,Soliman,6,2,5/8/2016,,Active,723,4.17,173.33,4,66,michelle.soliman@steigenberger.com,+20 1034658247,2/9/1989,M,Divorced,Sudan,Shubra El Kheima,284,Bachelor,Management,5,Full-time,Permanent
129,Mazen,Abdel-Rahman,16,5,3/15/2016,,Active,586,3.38,173.33,6,87,mazen.abdel-rahman.129@steigenberger.com,+20 1051068473,7/24/1971,F,Single,Saudi Arabia,Tanta,23,Master,Management,15,Full-time,Permanent
130,Amr,Sabry,11,3,8/5/2016,,Active,786,4.53,173.33,8,73,amr.sabry@steigenberger.com,+20 1055808032,6/3/2001,M,Single,Sudan,Alexandria,257,Diploma,Engineering,9,Full-time,Permanent
131,Nasser,Lewis,19,7,1/14/2019,,Active,2303,13.29,173.33,6,85,nasser.lewis@steigenberger.com,+20 1043103135,7/3/1999,F,Divorced,Saudi Arabia,Zagazig,231,Bachelor,Engineering,1,Full-time,Fixed-term
132,Anna,Al-Hashemi,13,8,12/3/2018,9/12/2022,Quit,1523,8.79,173.33,5,68,anna.al-hashemi@steigenberger.com,+20 1049772443,2/20/1994,F,Single,Sudan,Damietta,102,Diploma,General,12,Full-time,Permanent
133,Linda,Al-Zahra,15,5,8/15/2018,,Active,2417,13.94,173.33,2,43,linda.al-zahra@steigenberger.com,+20 1026942746,9/28/1988,M,Married,Syria,Ismailia,230,Diploma,Tourism,1,Full-time,Permanent
134,Rania,Mohamed,12,8,9/26/2018,,Active,3433,19.81,86.67,6,95,rania.mohamed@steigenberger.com,+20 1060269448,7/28/1973,F,Widowed,Saudi Arabia,Tanta,117,Master,Business,1,Full-time,Permanent
135,Noura,Jackson,15,5,10/23/2017,,Active,2242,12.93,86.67,7,67,noura.jackson@steigenberger.com,+20 1018575320,2/24/1985,M,Divorced,Saudi Arabia,Zagazig,136,High School,Management,1,Full-time,Fixed-term
136,Sandra,Wilson,7,4,2/22/2015,,Active,3264,18.83,173.33,8,86,sandra.wilson@steigenberger.com,+20 1064780951,10/8/1988,M,Divorced,Egypt,Alexandria,452,Bachelor,Management,1,Full-time,Permanent
137,Richard,Khalil,14,8,9/27/2016,6/1/2018,Terminated,1023,5.9,173.33,6,94,richard.khalil@steigenberger.com,+20 1025092712,3/7/1996,M,Married,Philippines,Alexandria,221,Master,Engineering,12,Full-time,Permanent
138,Walid,Soliman,20,7,7/8/2020,12/8/2022,Terminated,1894,10.93,173.33,7,84,walid.soliman@steigenberger.com,+20 1036075668,3/7/1985,M,Divorced,Egypt,Cairo,335,Master,Hospitality,1,Part-time,Fixed-term
139,Thomas,El-Sayed,9,3,9/18/2019,,Active,2900,16.73,173.33,5,81,thomas.el-sayed@steigenberger.com,+20 1040728135,1/12/1976,F,Divorced,Saudi Arabia,Port Said,80,High School,Tourism,1,Full-time,Permanent
140,Anna,Hassan,20,7,6/25/2017,,Active,2042,11.78,173.33,8,66,anna.hassan@steigenberger.com,+20 1040047716,9/22/1991,M,Married,Egypt,Mansoura,297,Bachelor,Business,1,Trainee,Permanent
141,Mahmoud,White,12,8,5/12/2020,,Active,3664,21.14,173.33,2,52,mahmoud.white@steigenberger.com,+20 1060971261,4/6/1995,F,Widowed,Saudi Arabia,Shubra El Kheima,233,Master,Engineering,1,Part-time,Permanent
142,Thomas,Hall,14,8,9/7/2017,,Active,710,4.1,86.67,8,54,thomas.hall@steigenberger.com,+20 1066696093,11/9/1993,M,Widowed,Egypt,Ismailia,53,Diploma,Management,12,Part-time,Permanent
143,Doaa,King,9,3,5/25/2016,,Active,2999,17.3,173.33,6,60,doaa.king@steigenberger.com,+20 1014777048,6/11/2000,M,Single,Egypt,Port Said,461,High School,Management,1,Full-time,Permanent
144,Samir,Rashad,3,1,12/12/2016,,Active,1127,6.5,173.33,7,84,samir.rashad@steigenberger.com,+20 1049103666,1/24/1974,M,Single,Saudi Arabia,Shubra El Kheima,177,Master,Engineering,2,Full-time,Permanent
145,Robert,Thompson,8,4,11/16/2017,,Active,1120,6.46,173.33,2,92,robert.thompson@steigenberger.com,+20 1084333514,11/18/1971,F,Divorced,Philippines,Damietta,94,High School,Tourism,7,Full-time,Permanent
146,Patricia,Lee,19,7,5/15/2020,,Active,2378,13.72,173.33,1,94,patricia.lee@steigenberger.com,+20 1039145154,9/16/1995,F,Divorced,Saudi Arabia,Zagazig,233,Diploma,Engineering,1,Full-time,Fixed-term
147,Ghada,Gaber,19,7,4/28/2018,,Active,2036,11.75,86.67,4,69,ghada.gaber@steigenberger.com,+20 1013151509,7/15/1986,F,Widowed,Philippines,Damietta,113,Master,Tourism,1,Part-time,Permanent
148,Khalil,Hall,5,2,10/1/2019,,Active,2836,16.36,86.67,1,40,khalil.hall@steigenberger.com,+20 1033846481,4/18/1978,F,Divorced,Sudan,Tanta,473,Diploma,Management,1,Full-time,Permanent
149,Khaled,El-Naggar,19,7,7/14/2015,,Active,2098,12.1,173.33,3,75,khaled.el-naggar@steigenberger.com,+20 1023390898,1/2/1970,F,Married,Sudan,Giza,111,Diploma,Hospitality,1,Full-time,Permanent
150,Ziad,Abdel-Rahman,15,5,11/13/2019,,Active,2071,11.95,173.33,8,40,ziad.abdel-rahman@steigenberger.com,+20 1080251682,12/7/1989,F,Divorced,Sudan,Mansoura,231,Bachelor,Business,1,Full-time,Fixed-term
